sted_raa,antall,kanonisk_sted,amt_lan,land
fredrikshald kjøpstad,5152,Fredrikshald kjøpstad,Smaalenenes amt,Norge
sverige,914,Sverige (uspesifisert),,Sverige
id sm,387,Idd herred,Smaalenenes amt,Norge
fredrikshald,238,Fredrikshald kjøpstad,Smaalenenes amt,Norge
berg sm,197,Berg herred,Smaalenenes amt,Norge
fr hald,181,Fredrikshald kjøpstad,Smaalenenes amt,Norge
kristiania,118,Christiania,Christiania amt,Norge
aremark sm,114,Aremark herred,Smaalenenes amt,Norge
frhald,97,Fredrikshald kjøpstad,Smaalenenes amt,Norge
f,95,Fredrikshald kjøpstad,Smaalenenes amt,Norge
rakkestad sm,77,Rakkestad herred,Smaalenenes amt,Norge
christiania,72,Christiania,Christiania amt,Norge
skjeberg sm,70,Skjeberg herred,Smaalenenes amt,Norge
berg sogn sm,45,Berg herred,Smaalenenes amt,Norge
tistedalen sm,45,Tistedalen,Smaalenenes amt,Norge
sverge,45,Sverige (uspesifisert),,Sverige
asak sm,40,Berg herred,Smaalenenes amt,Norge
id,40,Idd herred,Smaalenenes amt,Norge
id sogn sm,37,Idd herred,Smaalenenes amt,Norge
dalsland,37,Dalsland,Älvsborgs län (Dalsland),Sverige
drammen bu,36,Drammen,Buskeruds amt,Norge
fredriksstad sm,35,Fredrikstad kjøpstad,Smaalenenes amt,Norge
fredrikstad sm,33,Fredrikstad kjøpstad,Smaalenenes amt,Norge
sarpsborg sm,30,Sarpsborg kjøpstad,Smaalenenes amt,Norge
ødemark sm,30,Ødemark herred,Smaalenenes amt,Norge
hvaler sm,29,Hvaler herred,Smaalenenes amt,Norge
moss sm,29,Moss kjøpstad,Smaalenenes amt,Norge
rokke sm,29,Berg herred,Smaalenenes amt,Norge
strømstad,26,Strømstad,Göteborgs och Bohus län,Sverige
borge sm,24,Borge herred,Smaalenenes amt,Norge
berg smaalenene sm,23,Berg herred,Smaalenenes amt,Norge
tune sm,23,Tune herred,Smaalenenes amt,Norge
berg sml,22,Berg herred,Smaalenenes amt,Norge
eidsberg sm,20,Eidsberg herred,Smaalenenes amt,Norge
fr-hald,20,Fredrikshald kjøpstad,Smaalenenes amt,Norge
berg smålenene sm,19,Berg herred,Smaalenenes amt,Norge
enningdalen sm,19,Idd herred,Smaalenenes amt,Norge
gøteborg,18,Gøteborg,Göteborgs och Bohus län,Sverige
bergs sogn sm,18,Berg herred,Smaalenenes amt,Norge
berg smaalenene,18,Berg herred,Smaalenenes amt,Norge
sponvigen sm,18,Berg herred,Smaalenenes amt,Norge
ed sverige,18,Ed,Älvsborgs län (Dalsland),Sverige
bergen,17,Bergen,Bergen,Norge
hvaløerne sm,17,Hvaler herred,Smaalenenes amt,Norge
berg smaal,16,Berg herred,Smaalenenes amt,Norge
sverrige,16,Sverige (uspesifisert),,Sverige
holmestrand jl,15,Holmestrand,Jarlsberg og Larviks amt,Norge
tønsberg jl,15,Tønsberg,Jarlsberg og Larviks amt,Norge
fredrikstad,15,Fredrikstad kjøpstad,Smaalenenes amt,Norge
eningdalen sm,15,Idd herred,Smaalenenes amt,Norge
dalsland sverige,15,Dalsland,Älvsborgs län (Dalsland),Sverige
danmark,15,Danmark,,Danmark
t fredrikshald,14,Fredrikshald kjøpstad,Smaalenenes amt,Norge
s odalen hed,13,S Odalen,Hedemarkens amt,Norge
fr stad sm,13,Fredrikstad kjøpstad,Smaalenenes amt,Norge
tistedalen,13,Tistedalen,Smaalenenes amt,Norge
trondhjem st,13,Trondheim,Søndre Trondhjems amt,Norge
dahlsland sverige,13,Dahlsland,Älvsborgs län (Dalsland),Sverige
bergs herred sm,12,Berg herred,Smaalenenes amt,Norge
elfsborgs län,12,Elfsborg,Älvsborgs län (Dalsland),Sverige
skien brb,11,Skien,Bratsberg amt,Norge
elverum hed,11,Elverum,Hedemarkens amt,Norge
glemminge sm,11,Glemminge herred,Smaalenenes amt,Norge
høland ak,10,Høland,Akershus amt,Norge
gøteborg sverige,10,Gøteborg,Göteborgs och Bohus län,Sverige
lom krs,10,Lom,Kristians amt,Norge
berg smålenene,10,Berg herred,Smaalenenes amt,Norge
berg smaalen,10,Berg herred,Smaalenenes amt,Norge
bergsogn sm,10,Berg herred,Smaalenenes amt,Norge
fredrikshal,10,Fredrikshald kjøpstad,Smaalenenes amt,Norge
onsø sm,10,Onsøy herred,Smaalenenes amt,Norge
finland,10,Finland,,Finland
tyskland,10,Det tyske keiserrike,,Det tyske keiserrike
eidsvold ak,9,Eidsvold,Akershus amt,Norge
porsgrund brb,9,Porsgrund,Bratsberg amt,Norge
chr ania,9,Christiania,Christiania amt,Norge
bohuslæn,9,Bohuslän,Göteborgs och Bohus län,Sverige
lommeland sverige,9,Lommeland,Göteborgs och Bohus län,Sverige
faaberg krs,9,Faaberg,Kristians amt,Norge
arendal ned,9,Arendal,Nedenes amt,Norge
aremark,9,Aremark herred,Smaalenenes amt,Norge
berg sogn smaalenene,9,Berg herred,Smaalenenes amt,Norge
berg i smålenene sm,9,Berg herred,Smaalenenes amt,Norge
t frhald,9,Fredrikshald kjøpstad,Smaalenenes amt,Norge
fredriksald,9,Fredrikshald kjøpstad,Smaalenenes amt,Norge
ide herred sm,9,Idd herred,Smaalenenes amt,Norge
enebak ak,8,Enebak,Akershus amt,Norge
lillestrømmen ak,8,Lillestrømmen,Akershus amt,Norge
hammerfest fim,8,Hammerfest,Finmarkens amt,Norge
horten jl,8,Horten,Jarlsberg og Larviks amt,Norge
t fr hald,8,Fredrikshald kjøpstad,Smaalenenes amt,Norge
i fredrikshald,8,Fredrikshald kjøpstad,Smaalenenes amt,Norge
id sm norge,8,Idd herred,Smaalenenes amt,Norge
vermland sverige,8,Vermland,Värmlands län,Sverige
nøsemark sverige,8,Nøsemark,Älvsborgs län (Dalsland),Sverige
sverig,8,Sverige (uspesifisert),,Sverige
drøbak ak,7,Drøbak,Akershus amt,Norge
bohuslen,7,Bohuslän,Göteborgs och Bohus län,Sverige
bohuslän,7,Bohuslän,Göteborgs och Bohus län,Sverige
skee sverige,7,Skee,Göteborgs och Bohus län,Sverige
eidskogen hed,7,Eidskogen,Hedemarkens amt,Norge
vaage krs,7,Vaage,Kristians amt,Norge
berg smaal sm,7,Berg herred,Smaalenenes amt,Norge
bjørnstad id sm,7,Idd herred,Smaalenenes amt,Norge
marker sm,7,Marker herred,Smaalenenes amt,Norge
skeberg sm,7,Skjeberg herred,Smaalenenes amt,Norge
ømark sm,7,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
stavanger,7,Stavanger,Stavanger amt,Norge
kragerø brb,6,Kragerø,Bratsberg amt,Norge
hønefos bu,6,Hønefoss,Buskeruds amt,Norge
kongsberg bu,6,Kongsberg,Buskeruds amt,Norge
naverstad sverige,6,Naverstad,Göteborgs och Bohus län,Sverige
larvik jl,6,Larvik,Jarlsberg og Larviks amt,Norge
askim sm,6,Askim herred,Smaalenenes amt,Norge
frehald,6,Fredrikshald kjøpstad,Smaalenenes amt,Norge
fre hald,6,Fredrikshald kjøpstad,Smaalenenes amt,Norge
gleminge sm,6,Glemminge herred,Smaalenenes amt,Norge
id sogn,6,Idd herred,Smaalenenes amt,Norge
rokke berg sm,6,Berg herred,Smaalenenes amt,Norge
raade sm,6,Råde herred,Smaalenenes amt,Norge
spydeberg sm,6,Spydeberg herred,Smaalenenes amt,Norge
trøgstad sm,6,Trøgstad herred,Smaalenenes amt,Norge
varteig sm,6,Varteig herred,Smaalenenes amt,Norge
sandnæs sta,6,Sandnæs,Stavanger amt,Norge
vermland,6,Värmland,Värmlands län,Sverige
vaarvik,6,Vaarvik,Värmlands län,Sverige
mellerud,6,Mellerud,Älvsborgs län (Dalsland),Sverige
næs på romerike ak,5,Næs På Romerike,Akershus amt,Norge
østre aker ak,5,Østre Aker,Akershus amt,Norge
aas ak,5,Aas,Akershus amt,Norge
nore prestegaard bu,5,Nore,Buskeruds amt,Norge
bohuslehn,5,Bohuslän,Göteborgs och Bohus län,Sverige
udevalla,5,Udevalla,Göteborgs och Bohus län,Sverige
hogdal sverige,5,Hogdal,Göteborgs och Bohus län,Sverige
lommeland,5,Lommeland,Göteborgs och Bohus län,Sverige
kongsvinger hed,5,Kongsvinger,Hedemarkens amt,Norge
ringsaker hed,5,Ringsaker,Hedemarkens amt,Norge
levanger nt,5,Levanger,Nordre Trondhjems amt,Norge
aalesund rom,5,Ålesund,Romsdals amt,Norge
aremark sml,5,Aremark herred,Smaalenenes amt,Norge
frhall,5,Fredrikshald kjøpstad,Smaalenenes amt,Norge
rakkestad sml,5,Rakkestad herred,Smaalenenes amt,Norge
skjeberg sml,5,Skjeberg herred,Smaalenenes amt,Norge
tune sogn sm,5,Tune herred,Smaalenenes amt,Norge
throndhjem st,5,Trondheim,Søndre Trondhjems amt,Norge
elfsborgs lehn,5,Elfsborg,Älvsborgs län (Dalsland),Sverige
frendefors sverige,5,Frendefor,Älvsborgs län (Dalsland),Sverige
vänersborg sverige,5,Vänersborg,Älvsborgs län (Dalsland),Sverige
ed,5,Ed,Älvsborgs län (Dalsland),Sverige
nøssemark,5,Nøssemark,Älvsborgs län (Dalsland),Sverige
nøssemarken sverige,5,Nössemark,Älvsborgs län (Dalsland),Sverige
skollerud sogn sverige,5,Skollerud,Älvsborgs län (Dalsland),Sverige
østergøtlan,5,Östergötland,Östergötlands län,Sverige
sverje,5,Sverige (uspesifisert),,Sverige
amerika,5,USA,,USA
vestby ak,4,Vestby,Akershus amt,Norge
byen brevik brb,4,Brevik,Bratsberg amt,Norge
modum bu,4,Modum,Buskeruds amt,Norge
xania,4,Christiania,Christiania amt,Norge
bohuslehn sverige,4,Bohuslehn,Göteborgs och Bohus län,Sverige
bohuslän sverige,4,Bohuslän,Göteborgs och Bohus län,Sverige
gøteborg sverge,4,Gøteborg,Göteborgs och Bohus län,Sverige
lomeland sverige,4,Lomeland,Göteborgs och Bohus län,Sverige
tolgen hed,4,Tolgen,Hedemarkens amt,Norge
vinger hed,4,Vinger,Hedemarkens amt,Norge
aamot hed,4,Aamot,Hedemarkens amt,Norge
fredriksværn jl,4,Fredriksvern,Jarlsberg og Larviks amt,Norge
sandefjord jl,4,Sandefjord,Jarlsberg og Larviks amt,Norge
slagen jl,4,Slagen,Jarlsberg og Larviks amt,Norge
tjømø jl,4,Tjømø,Jarlsberg og Larviks amt,Norge
lillehammer krs,4,Lillehammer,Kristians amt,Norge
n fron krs,4,N Fron,Kristians amt,Norge
øier krs,4,Øier,Kristians amt,Norge
tvedestrand ned,4,Tvedestrand,Nedenes amt,Norge
asak sogn sm,4,Berg herred,Smaalenenes amt,Norge
berg smaalene,4,Berg herred,Smaalenenes amt,Norge
borge sml,4,Borge herred,Smaalenenes amt,Norge
borge smaalenene,4,Borge herred,Smaalenenes amt,Norge
esberg sm,4,Eidsberg herred,Smaalenenes amt,Norge
frederikshald,4,Fredrikshald kjøpstad,Smaalenenes amt,Norge
fredrikshall,4,Fredrikshald kjøpstad,Smaalenenes amt,Norge
glemminge sml,4,Glemminge herred,Smaalenenes amt,Norge
id sognets sm,4,Idd herred,Smaalenenes amt,Norge
ide sogn sm,4,Idd herred,Smaalenenes amt,Norge
kirkeøen hvaler sm,4,Hvaler herred,Smaalenenes amt,Norge
krokenebet sm,4,Skjeberg herred,Smaalenenes amt,Norge
moss,4,Moss kjøpstad,Smaalenenes amt,Norge
sarpsborg,4,Sarpsborg kjøpstad,Smaalenenes amt,Norge
skjæberg sm,4,Berg herred,Smaalenenes amt,Norge
thune sm,4,Tune herred,Smaalenenes amt,Norge
ullerød sm,4,Onsøy herred,Smaalenenes amt,Norge
egersund sta,4,Egersund,Stavanger amt,Norge
haugesund sta,4,Haugesund,Stavanger amt,Norge
norge,4,Ukjent,Ukjent,Norge
filipstad sverige,4,Filipstad,Värmlands län,Sverige
vermeland,4,Värmland,Värmlands län,Sverige
wermland,4,Värmland,Värmlands län,Sverige
wermeland,4,Värmland,Värmlands län,Sverige
elfsborgslæn,4,Elfsborg,Älvsborgs län (Dalsland),Sverige
wennersborg,4,Wennersborg,Älvsborgs län (Dalsland),Sverige
aamål sverige,4,Aamål,Älvsborgs län (Dalsland),Sverige
dalskog sverige,4,Dalskog,Älvsborgs län (Dalsland),Sverige
høgset posterat sverige,4,Høgset,Älvsborgs län (Dalsland),Sverige
mellerud sverige,4,Mellerud,Älvsborgs län (Dalsland),Sverige
nøssemark sverige,4,Nøssemark,Älvsborgs län (Dalsland),Sverige
skollerud sverrige,4,Skollerud,Älvsborgs län (Dalsland),Sverige
toftedal sverige,4,Toftedal,Älvsborgs län (Dalsland),Sverige
tøftedal dalsland,4,Tøftedal,Älvsborgs län (Dalsland),Sverige
ørebro læn,4,Ørebro,Örebro län,Sverige
rusland,4,Det russiske keiserdømmet,,Det russiske keiserdømmet
sv,4,Sverige (uspesifisert),,Sverige
sverget,4,Sverige (uspesifisert),,Sverige
bærum ak,3,Bærum,Akershus amt,Norge
nannestad ak,3,Nannestad,Akershus amt,Norge
skedsmo ak,3,Skedsmo,Akershus amt,Norge
ullensager ak,3,Ullensager,Akershus amt,Norge
solum brb,3,Solum,Bratsberg amt,Norge
cristiania,3,Christiania,Christiania amt,Norge
bohuslen sverige,3,Bohuslen,Göteborgs och Bohus län,Sverige
høgen sverige,3,Høgen,Göteborgs och Bohus län,Sverige
skjærgard sverige,3,Skjærgard,Göteborgs och Bohus län,Sverige
uddevalla sverige,3,Uddevalla,Göteborgs och Bohus län,Sverige
nafverstad sverige,3,Nafverstad,Göteborgs och Bohus län,Sverige
naverstad,3,Naverstad,Göteborgs och Bohus län,Sverige
grue hed,3,Grue,Hedemarkens amt,Norge
stange hed,3,Stange,Hedemarkens amt,Norge
søndre odalen hed,3,Søndre Odalen,Hedemarkens amt,Norge
trysil hed,3,Trysil,Hedemarkens amt,Norge
vaaler i solør hed,3,Vaaler,Hedemarkens amt,Norge
aasnæs hed,3,Aasnæs,Hedemarkens amt,Norge
borre jl,3,Borre,Jarlsberg og Larviks amt,Norge
laurvig jl,3,Larvik,Jarlsberg og Larviks amt,Norge
laurvik jl,3,Larvik,Jarlsberg og Larviks amt,Norge
jønkøping,3,Jönköping,Jönköpings län,Sverige
lesje krs,3,Lesje,Kristians amt,Norge
flekkefjord lm,3,Flekkefjord,Lister og Mandals amt,Norge
kristiansand lm,3,Kristiansand,Lister og Mandals amt,Norge
kristiansand s lm,3,Kristiansand,Lister og Mandals amt,Norge
grimstad ned,3,Grimstad,Nedenes amt,Norge
lillesand ned,3,Lillesand,Nedenes amt,Norge
aremarks herred sm,3,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
asak berg sm,3,Berg herred,Smaalenenes amt,Norge
berg sogn smaalenerne,3,Berg herred,Smaalenenes amt,Norge
berg sogn sml,3,Berg herred,Smaalenenes amt,Norge
berg i smålenene,3,Berg herred,Smaalenenes amt,Norge
borg sm,3,Borge herred,Smaalenenes amt,Norge
borge sogn sm,3,Borge herred,Smaalenenes amt,Norge
fr hald sm,3,Fredrikshald kjøpstad,Smaalenenes amt,Norge
fredrikshald sm,3,Fredrikshald kjøpstad,Smaalenenes amt,Norge
fhald,3,Fredrikshald kjøpstad,Smaalenenes amt,Norge
hobøl sm,3,Hobøl herred,Smaalenenes amt,Norge
hvaløerne sml,3,Hvaler herred,Smaalenenes amt,Norge
haabøl sml,3,Hobøl herred,Smaalenenes amt,Norge
id prestegjæld sm,3,Idd herred,Smaalenenes amt,Norge
enningedalen sm,3,Idd herred,Smaalenenes amt,Norge
id smaalens amt,3,Idd herred,Smaalenenes amt,Norge
id herred sm,3,Idd herred,Smaalenenes amt,Norge
id smaalene,3,Idd herred,Smaalenenes amt,Norge
rakestad præsteglæld sm,3,Rakkestad herred,Smaalenenes amt,Norge
rakstad sm,3,Rakkestad herred,Smaalenenes amt,Norge
rygge sm,3,Rygge herred,Smaalenenes amt,Norge
rygge sogn sm,3,Rygge herred,Smaalenenes amt,Norge
sannesund sm,3,Skjeberg herred,Smaalenenes amt,Norge
skjeberg herred sm,3,Skjeberg herred,Smaalenenes amt,Norge
valerøerne sm,3,Hvaler herred,Smaalenenes amt,Norge
vaaler sm,3,Våler herred,Smaalenenes amt,Norge
stockholm,3,Stockholm,Stockholms län,Sverige
bjurbeks brug sverige,3,Bjurbäcks bruk,Värmlands län,Sverige
dahlsland,3,Dalsland,Älvsborgs län (Dalsland),Sverige
elfsborg sverige,3,Elfsborg,Älvsborgs län (Dalsland),Sverige
elfsborgs len,3,Elfsborg,Älvsborgs län (Dalsland),Sverige
bullarn sverige,3,Bullarn,Älvsborgs län (Dalsland),Sverige
ed socken,3,Ed,Älvsborgs län (Dalsland),Sverige
ertemark sverige,3,Ertemark,Älvsborgs län (Dalsland),Sverige
gesäter,3,Gesäter,Älvsborgs län (Dalsland),Sverige
hodal sverige,3,Hodal,Älvsborgs län (Dalsland),Sverige
nøsemarken sverige,3,Nössemark,Älvsborgs län (Dalsland),Sverige
nøssemarka sverige,3,Nøssemarka,Älvsborgs län (Dalsland),Sverige
torsko sogn sverige,3,Torsko,Älvsborgs län (Dalsland),Sverige
tøftedal sverige,3,Tøftedal,Älvsborgs län (Dalsland),Sverige
tøftedalen sverige,3,Tøftedalen,Älvsborgs län (Dalsland),Sverige
waarvik sverige,3,Vårvik,Älvsborgs län (Dalsland),Sverige
ørebro län sverige,3,Ørebro,Örebro län,Sverige
kjøbenhavn,3,Danmark,,Danmark
swerige,3,Sverige (uspesifisert),,Sverige
ubekj,3,Ukjent,,Ukjent
asker ak,2,Asker,Akershus amt,Norge
asker sogn ak,2,Asker,Akershus amt,Norge
asker herred ak,2,Asker,Akershus amt,Norge
blaker ak,2,Blaker,Akershus amt,Norge
fet ak,2,Fet,Akershus amt,Norge
fetsund ak,2,Fetsund,Akershus amt,Norge
krogstad s ak,2,Krogstad S,Akershus amt,Norge
kraakstad ak,2,Kraakstad,Akershus amt,Norge
næsodden ak,2,Næsodden,Akershus amt,Norge
sørum ak,2,Sørum,Akershus amt,Norge
ullensaker,2,Ullensaker,Akershus amt,Norge
urskaug ak,2,Urskaug,Akershus amt,Norge
urskoug ak,2,Urskoug,Akershus amt,Norge
hole bu,2,Hole,Buskeruds amt,Norge
lier bu,2,Lier,Buskeruds amt,Norge
nedre eker bu,2,Nedre Eker,Buskeruds amt,Norge
chria,2,Christiania,Christiania amt,Norge
bohulen,2,Bohuslän,Göteborgs och Bohus län,Sverige
bohus lehn sverige,2,Bohus,Göteborgs och Bohus län,Sverige
bohuslæn sverige,2,Bohuslæn,Göteborgs och Bohus län,Sverige
krogstad bohuslæn sverige,2,Bohuslæn,Göteborgs och Bohus län,Sverige
fos herrets sverige,2,Fo,Göteborgs och Bohus län,Sverige
næssinge bohuslen,2,Næssinge Bohuslen,Göteborgs och Bohus län,Sverige
rommelanda sverige,2,Rommelanda,Göteborgs och Bohus län,Sverige
strand sverige,2,Strand,Göteborgs och Bohus län,Sverige
strømstad sverige,2,Strømstad,Göteborgs och Bohus län,Sverige
uddevalla,2,Uddevalla,Göteborgs och Bohus län,Sverige
hogdal,2,Hogdal,Göteborgs och Bohus län,Sverige
hogdal sverge,2,Hogdal,Göteborgs och Bohus län,Sverige
hogdals sogn sverige,2,Hogdal,Göteborgs och Bohus län,Sverige
haabysoken sverige,2,Håby,Göteborgs och Bohus län,Sverige
krogstad sverige,2,Krokstad,Göteborgs och Bohus län,Sverige
krokstad sogn sverige,2,Krokstad,Göteborgs och Bohus län,Sverige
krokstrand,2,Krokstrand,Göteborgs och Bohus län,Sverige
lur sogn sv sverige,2,Lur,Göteborgs och Bohus län,Sverige
lysekil sverige,2,Lysekil,Göteborgs och Bohus län,Sverige
nesinge sverige,2,Nesinge,Göteborgs och Bohus län,Sverige
nessing i sverige,2,Nessing,Göteborgs och Bohus län,Sverige
næsing,2,Näsinge,Göteborgs och Bohus län,Sverige
næsinge,2,Næsinge,Göteborgs och Bohus län,Sverige
næsinge sverige,2,Næsinge,Göteborgs och Bohus län,Sverige
näsinge sverige,2,Näsinge,Göteborgs och Bohus län,Sverige
næssinge sverige,2,Næssinge,Göteborgs och Bohus län,Sverige
ske sverige,2,Skee,Göteborgs och Bohus län,Sverige
ske sokken sverige,2,Skee,Göteborgs och Bohus län,Sverige
skee soken sverige,2,Skee,Göteborgs och Bohus län,Sverige
skee sogn sverige,2,Skee,Göteborgs och Bohus län,Sverige
eidsskogen hed,2,Eidsskogen,Hedemarkens amt,Norge
hedemarken,2,Uspesifisert,Hedemarkens amt,Norge
hof i solør hed,2,Hof,Hedemarkens amt,Norge
hof solør hed,2,Hof Solør,Hedemarkens amt,Norge
kongsvinger,2,Kongsvinger,Hedemarkens amt,Norge
næs hedmarken hed,2,Næs,Hedemarkens amt,Norge
rendalen hed,2,Rendalen,Hedemarkens amt,Norge
solør hed,2,Solør,Hedemarkens amt,Norge
veldre ringsaker hed,2,Veldre Ringsaker,Hedemarkens amt,Norge
vaaler solør hed,2,Vaaler Solør,Hedemarkens amt,Norge
winger hed,2,Winger,Hedemarkens amt,Norge
fredriksvern jl,2,Fredriksvern,Jarlsberg og Larviks amt,Norge
sandeherred jl,2,Sandeherred,Jarlsberg og Larviks amt,Norge
sem i jarlsberg,2,Sem,Jarlsberg og Larviks amt,Norge
tønsberg,2,Tønsberg,Jarlsberg og Larviks amt,Norge
aasgaardstrand jl,2,Aasgaardstrand,Jarlsberg og Larviks amt,Norge
biri krs,2,Biri,Kristians amt,Norge
birid krs,2,Birid,Kristians amt,Norge
gudbrandsdalen krs,2,Gudbrandsdalen,Kristians amt,Norge
kvikne krs,2,Kvikne,Kristians amt,Norge
nordre fron krs,2,Nordre Fron,Kristians amt,Norge
søndre fron,2,Søndre Fron,Kristians amt,Norge
cristiansand lm,2,Kristiansand,Lister og Mandals amt,Norge
kristianssand lm,2,Kristiansand,Lister og Mandals amt,Norge
kristianssand s lm,2,Kristiansand,Lister og Mandals amt,Norge
mandal lm,2,Mandal,Lister og Mandals amt,Norge
namsos nt,2,Namsos,Nordre Trondhjems amt,Norge
balsø prestgaard rom,2,Balsø Prestgaard,Romsdals amt,Norge
romsdalen,2,Uspesifisert,Romsdals amt,Norge
skaane sverige,2,Skaane,Skåne,Sverige
armark sm,2,Aremark herred,Smaalenenes amt,Norge
berg sogn i smaalenerne,2,Berg herred,Smaalenenes amt,Norge
berg i smaalenene,2,Berg herred,Smaalenenes amt,Norge
berg i sml sm,2,Berg herred,Smaalenenes amt,Norge
berg i smaalenene sm,2,Berg herred,Smaalenenes amt,Norge
bergs sogn smålenene,2,Berg herred,Smaalenenes amt,Norge
berg i smaalene sm,2,Berg herred,Smaalenenes amt,Norge
berg smalenene,2,Berg herred,Smaalenenes amt,Norge
berg smaalen sm,2,Berg herred,Smaalenenes amt,Norge
berg song sm,2,Berg herred,Smaalenenes amt,Norge
bergs song sm,2,Berg herred,Smaalenenes amt,Norge
bergsogn sml,2,Berg herred,Smaalenenes amt,Norge
baastad sm,2,Trøgstad herred,Smaalenenes amt,Norge
degernes sm,2,Degernes herred,Smaalenenes amt,Norge
fr shald,2,Fredrikshald kjøpstad,Smaalenenes amt,Norge
fredregshald,2,Fredrikshald kjøpstad,Smaalenenes amt,Norge
fr h,2,Fredrikshald kjøpstad,Smaalenenes amt,Norge
frstad sm,2,Fredrikstad kjøpstad,Smaalenenes amt,Norge
hvaløer sm,2,Hvaler herred,Smaalenenes amt,Norge
hvaløer sogn sm,2,Hvaler herred,Smaalenenes amt,Norge
hvalør sm,2,Hvaler herred,Smaalenenes amt,Norge
id landsogn sm,2,Idd herred,Smaalenenes amt,Norge
id prestegjeld sm,2,Idd herred,Smaalenenes amt,Norge
id prestegjeld,2,Idd herred,Smaalenenes amt,Norge
id prestejel sm,2,Idd herred,Smaalenenes amt,Norge
id præstegjæld sm,2,Idd herred,Smaalenenes amt,Norge
id song sm,2,Idd herred,Smaalenenes amt,Norge
enningdalen id smaalenene,2,Idd herred,Smaalenenes amt,Norge
idd sm,2,Idd herred,Smaalenenes amt,Norge
id sml,2,Idd herred,Smaalenenes amt,Norge
id smaalenene sm,2,Idd herred,Smaalenenes amt,Norge
id smålenene,2,Idd herred,Smaalenenes amt,Norge
kornsjø sm,2,Idd herred,Smaalenenes amt,Norge
maas sm,2,Moss kjøpstad,Smaalenenes amt,Norge
nøssemarks sm,2,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
præstebakke sm,2,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
rokke sogn sm,2,Berg herred,Smaalenenes amt,Norge
rødenæs sm,2,Rødenes herred,Smaalenenes amt,Norge
sarsborg sm,2,Sarpsborg kjøpstad,Smaalenenes amt,Norge
sasborg sm,2,Sarpsborg kjøpstad,Smaalenenes amt,Norge
sjeberg sm,2,Skjeberg herred,Smaalenenes amt,Norge
skibtvedt sm,2,Skiptvett herred,Smaalenenes amt,Norge
skjeberg sogn sm,2,Skjeberg herred,Smaalenenes amt,Norge
skjeberg,2,Skjeberg,Smaalenenes amt,Norge
sponviken berg sm,2,Berg herred,Smaalenenes amt,Norge
t byn,2,Fredrikshald kjøpstad,Smaalenenes amt,Norge
t id,2,Idd herred,Smaalenenes amt,Norge
t tistedalen fr sm,2,Tistedalen,Smaalenenes amt,Norge
tistedalen sm t,2,Tistedalen,Smaalenenes amt,Norge
torpedalen sm a,2,Berg herred,Smaalenenes amt,Norge
torpedalen berg i sm a,2,Berg herred,Smaalenenes amt,Norge
torsnæs sm,2,Smaalenenes amt (uspesifisert),Smaalenenes amt,Norge
skudesnæshavn sta,2,Skudesnæshavn,Stavanger amt,Norge
strand sverg,2,Strand,Stavanger amt,Norge
nykøping sverige,2,Nykøping,Södermanlands län,Sverige
karlstad,2,Karlstad,Värmlands län,Sverige
ny soken sverge,2,Ny socken,Värmlands län,Sverige
wermeland sverige,2,Wermeland,Värmlands län,Sverige
braalanda,2,Braalanda,Älvsborgs län (Dalsland),Sverige
bäkke socken dalsland,2,Dalsland,Älvsborgs län (Dalsland),Sverige
dahlsland sverig,2,Dahlsland,Älvsborgs län (Dalsland),Sverige
dalslan sverige,2,Dalsland,Älvsborgs län (Dalsland),Sverige
dalsland i sverige,2,Dalsland,Älvsborgs län (Dalsland),Sverige
elfsborg lehn,2,Elfsborg,Älvsborgs län (Dalsland),Sverige
elsborgs læn sverige,2,Elsborgs,Älvsborgs län (Dalsland),Sverige
elsborgs län sverige,2,Elsborgs,Älvsborgs län (Dalsland),Sverige
forsbakka brug sverige,2,Forsbakka,Älvsborgs län (Dalsland),Sverige
aamaal sverige,2,Aamaal,Älvsborgs län (Dalsland),Sverige
dals ed sverige,2,Ed,Älvsborgs län (Dalsland),Sverige
ed socken sverige,2,Ed,Älvsborgs län (Dalsland),Sverige
ed i sverige,2,Ed,Älvsborgs län (Dalsland),Sverige
dalsborg,2,Dalsborg,Älvsborgs län (Dalsland),Sverige
eds sogn sverige,2,Ed (Dals-Ed),Älvsborgs län (Dalsland),Sverige
dalskog,2,Dalskog,Älvsborgs län (Dalsland),Sverige
ertmark sverige,2,Ertmark,Älvsborgs län (Dalsland),Sverige
gesäter dalsland,2,Gesäter,Älvsborgs län (Dalsland),Sverige
gunnarsnæs sverige,2,Gunnarsnæ,Älvsborgs län (Dalsland),Sverige
holm socken sverige,2,Holm,Älvsborgs län (Dalsland),Sverige
høgsäter sverige,2,Högsäter,Älvsborgs län (Dalsland),Sverige
nøsemark,2,Nøsemark,Älvsborgs län (Dalsland),Sverige
nøssemark sverge,2,Nøssemark,Älvsborgs län (Dalsland),Sverige
nøssemarken,2,Nössemark,Älvsborgs län (Dalsland),Sverige
ryr sokken sverige,2,Ryr,Älvsborgs län (Dalsland),Sverige
rølanda sogn sverige,2,Rølanda,Älvsborgs län (Dalsland),Sverige
